id,slug,question,description,event_slug,active,closed,category,volume,liquidity,end_date_iso,sync_timestamp
46,will-drake-release-a-new-studio-album-before-the-end-of-2020,Will Drake release a new studio album before the end of 2020?,"This is a market on if Drake will release a new studio album before the end of 2020. A studio album in this case can be defined as a new project on his Spotify page in the Albums section, with 8 or more songs and a release date in 2020. This market begins in October 2020, thus Dark Lane Demo Tapes does not count. This market will resolve to “Yes” if a studio album is released and is available via Spotify for streaming prior to 11:59PM EST on Dec 31, 2020. If a studio album is not released on Spotify by the aforementioned date, this market will resolve “No.” In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Pop-Culture ,31841.386373,0,,2026-01-12T19:03:16.730127
47,which-party-will-win-florida-in-the-2020-presidential-election,Which party will win Florida in the 2020 presidential election?,"This is a market on which party will win Florida in the 2020 presidential election. This market will resolve based on the information made available by the Florida Division of Elections. Official results for the General Election to be held on November 3, 2020 will be available and certified on November 17, 2020. In the event of a recount or other unforeseen delay, the market will not resolve until the final information is published and certified by the Florida Division of Elections. 

Note: Dems = Democrats and Reps = Republicans. Names were shortened for the sake of space. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).",,True,True,US-current-affairs,243053.252109,0,,2026-01-12T19:03:16.730129
48,how-many-confirmed-coronavirus-cases-will-there-be-at-eoy-in-the-usa,How many confirmed Coronavirus cases will there be at EOY in the USA?,"This is a scalar market on the number of confirmed coronavirus cases there will be at the end of 2020 in the United States, according to https://coronavirus.jhu.edu/map.html. The lower bound for this market is 9 million and the upper bound is 15 million - you can use the calculator to the right (underneath the Buy modal) to calculate how each Long or Short share price corresponds with number of confirmed cases. The market will be settled according to https://coronavirus.jhu.edu/map.html at roughly 12am EST on January 1st, 2021. Long and Short shares will settle proportional to the final value, in the case of the final value being between these bounds, but if the final value exceeds either the upper or lower bound, the price of each Outcome Share is capped at $1. Refer to calculator. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).",,True,True,Coronavirus,72112.484035,1.937475,,2026-01-12T19:03:16.730131
56,who-will-win-the-2020-mlb-world-series-1,Who will win the 2020 MLB World Series?,"This is a market on which team will win the 2020 Major League Baseball world series. The World Series is the annual championship series of Major League Baseball in the United States and Canada, contested since 1903 between the champion teams of the American League and the National League. The two 2020 contenders are the Tampa Bay Rays and the Los Angeles Dodgers. This market will resolve according to the team that first wins 4 games of this 7 game series.",,True,True,Pop-Culture ,107601.586423,0,,2026-01-12T19:03:16.730134
57,will-dharma-s-phase-1-retroactive-uni-distribution-proposal-pass,Will Dharma’s Phase 1 Retroactive UNI Distribution proposal pass?,"This is a market on if Dharma’s “Phase 1” Uniswap (UNI) governance proposal, described as “Retroactive UNI Distribution”, will pass. As of the date of market creation, 10-21-20, Dharma has announced their intention to submit a UNI governance proposal on October 23rd, 2020, for essentially airdropping UNI to users who traded on Uniswap through  applications like Dharma, prior to the UNI airdrop snapshot. “Phase 1 includes users of the application integrations”. The Phase 1 proposal can be empirically defined as a UNI governance proposal submitted in late October 2020, that encompasses airdropping UNI retroactively to users of apps that had integrated Uniswap. This market will resolve to “Yes” if this proposal is successfully passed, and “No” in any other case. This market will resolve once the 7 day voting period after the proposal is finished.",,True,True,Crypto,35661.941003,0,,2026-01-12T19:03:16.730136
59,will-there-be-a-federal-charge-filed-against-hunter-biden-before-2021,Will there be a federal charge filed against Hunter Biden before 2021?,"This is a market on whether Hunter Biden, son of former U.S. Vice President Joe Biden, shall be indicted or otherwise formally charged with a federal crime, as publicly confirmed on or before December 31, 2020 by an authorized representative of the charging agency(ies) or judicial venue(s). If he is charged with a federal crime, before December 31, 2020, this market will resolve “Yes” if he is charged with any crime that is not a federal crime or is not charged with any crimes, this market will resolve “No”.",,True,True,US-current-affairs,127476.154269,0.13149,,2026-01-12T19:03:16.730138
63,will-btc-break-15k-before-2021-1,Will BTC break $15k before 2021?,"This is a market on whether BTC (bitcoin) will reach a price higher than USD $15,000 before the end of the 2020 calendar year according to coinmarketcap.com. If bitcoin reaches a price higher than $15,000 this market will be resolved to “Yes” shortly thereafter. If bitcoin does not reach a price higher than $15,000 by 11:59 PM ET Dec 31, 2020, this market will resolve to “No”.",,True,True,Crypto,224706.488667,0,,2026-01-12T19:03:16.730140
64,will-khabib-win-his-ufc-254-fight,Will Khabib win his UFC 254 Fight?,"This is a market on whether Khabib Nurmagomedov will win his UFC 254 fight against Justin Gaethje. If Khabib Nurmagomedov is declared the winner of this bout, either by knockout or by judgement, this market will resolve “Yes.” If Justin Gaethje is declared the winner, or this fight is declared a draw, this market will resolve to “No”.
",,True,True,Pop-Culture ,17497.115264,0,,2026-01-12T19:03:16.730147
65,will-538-outperform-the-economist-in-forecasting-the-2020-presidential-election,Will 538 outperform The Economist in forecasting the 2020 Presidential Election?,"This is a market on whether 538 will outperform The Economist in forecasting the 2020 Presidential Election. This market will be resolved by comparing the Brier score of 538 and the Economist averaged over all N=51 races. The calculation is further explained here: https://www.metaculus.com/questions/5503/comparing-538-and-economist-forecasts-in-2020/. This market resolves to ""Yes"" if the Brier score for the 51 races is lower for 538's probabilities than for The Economist's probabilities. The resolution source is based on downloading each model's ""model outputs"" from their respective websites at 1400 UTC 02-Nov-2020. This market will be resolved in the exact same way the aforementioned Metaculus question thread, given that the result is calculated to the satisfaction of the Market Integrity Committee.",,True,True,US-current-affairs,81312.461764,0,,2026-01-12T19:03:16.730149
66,who-will-win-the-2020-league-of-legends-world-championship,Who will win the 2020 League of Legends World Championship?,"This is a market on which team will win the 2020 league of legends world championship, taking place on October 31st, 2020. The two teams competing are SN Gaming (Suning) and Damwon. Whichever team wins the Championship will have their shares become worth $1. If the game gets postponed, this market will not be resolved until the match takes place. If for some reason neither team wins, the market will resolve with both outcome shares being worth $.50 cents. This market will resolve according to the information published at https://lolesports.com/news following the match. ",,True,True,Pop-Culture ,84205.451739,0,,2026-01-12T19:03:16.730152
